Filtro,Limiar,Estrategia,Semanas Lider,Total Semanas,Percentual Semanas Lider,Retorno Acumulado
Naive,0.0%,Equal-Weight,20,54,0.3704,0.2714
Projetado,0.0%,Equal-Weight,34,54,0.6296,0.2758
Naive,0.0%,Markowitz,32,54,0.5926,0.1872
Projetado,0.0%,Markowitz,22,54,0.4074,0.2155
Naive,0.0%,Value-Weighted,49,54,0.9074,0.3070
Projetado,0.0%,Value-Weighted,5,54,0.0926,0.2776
Naive,0.5%,Equal-Weight,7,54,0.1296,0.2411
Projetado,0.5%,Equal-Weight,47,54,0.8704,0.2592
Naive,0.5%,Markowitz,25,54,0.4630,0.1641
Projetado,0.5%,Markowitz,29,54,0.5370,0.2074
Naive,0.5%,Value-Weighted,39,54,0.7222,0.2912
Projetado,0.5%,Value-Weighted,15,54,0.2778,0.2738
Naive,1.0%,Equal-Weight,18,54,0.3333,0.2612
Projetado,1.0%,Equal-Weight,36,54,0.6667,0.2533
Naive,1.0%,Markowitz,26,54,0.4815,0.1836
Projetado,1.0%,Markowitz,28,54,0.5185,0.2246
Naive,1.0%,Value-Weighted,53,54,0.9815,0.3193
Projetado,1.0%,Value-Weighted,1,54,0.0185,0.2833
Naive,1.5%,Equal-Weight,41,54,0.7593,0.2449
Projetado,1.5%,Equal-Weight,13,54,0.2407,0.2052
Naive,1.5%,Markowitz,50,54,0.9259,0.1406
Projetado,1.5%,Markowitz,4,54,0.0741,0.1742
Naive,1.5%,Value-Weighted,54,54,1.0000,0.3510
Projetado,1.5%,Value-Weighted,0,54,0.0000,0.2829
Naive,2.0%,Equal-Weight,44,54,0.8148,0.2061
Projetado,2.0%,Equal-Weight,10,54,0.1852,0.1585
Naive,2.0%,Markowitz,23,54,0.4259,0.0860
Projetado,2.0%,Markowitz,31,54,0.5741,0.1609
Naive,2.0%,Value-Weighted,54,54,1.0000,0.3674
Projetado,2.0%,Value-Weighted,0,54,0.0000,0.2983
